City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
329,Cornwall,CA,,45.02,-74.73,73.4,88,1,4.21
330,Atar,MR,,20.52,-13.05,94.37,10,62,8.84
331,Bodden Town,KY,,19.28,-81.25,84.0,84,27,8.99
332,Leticia,CO,,-4.22,-69.94,75.2,100,20,2.04
333,Bhum,IN,,18.47,75.67,77.68,79,100,11.36
334,Owensboro,US,,37.77,-87.11,77.0,94,1,4.7
335,Pandharpur,IN,,17.67,75.33,79.16,76,100,11.36
336,Caconda,AO,,-13.73,15.07,45.82,49,0,3.27
337,Saint George,US,,37.1,-113.58,98.6,4,1,12.75
338,Mackenzie,CA,,55.3,-123.17,60.8,72,90,3.36
339,Shagonar,RU,,51.53,92.8,66.24,58,2,3.38
340,Bara,NG,,10.37,10.73,75.72,83,92,7.34
341,Saint-Pierre,RE,,-21.34,55.48,64.4,59,4,8.05
342,Qui Nhon,VN,,13.77,109.23,87.49,60,100,9.46
343,Abha,SA,,18.22,42.51,66.2,63,84,2.95
344,Fortuna,US,,40.6,-124.16,62.01,82,1,13.87
345,Gondanglegi,ID,,-7.75,112.01,83.55,67,100,13.47
346,Khorramabad,IR,,33.49,48.36,73.4,28,40,6.93
347,Nhulunbuy,AU,,-12.23,136.77,80.6,65,75,14.99
348,Saint-Donat-De-Montcalm,CA,,46.32,-74.22,73.99,8,11,0.92
349,Narsaq,GL,,60.92,-46.05,50.0,57,100,2.24
350,Ixtapa,MX,,20.7,-105.2,79.0,94,90,4.7
351,Wattegama,LK,,6.8,81.48,82.4,94,75,2.24
352,Blagoyevo,RU,,63.37,47.92,75.47,85,0,9.42
353,Hirado,JP,,33.36,129.55,75.2,94,75,16.11
354,Clyde River,CA,,70.47,-68.59,33.8,100,90,6.93
355,Maldonado,UY,,-34.67,-54.92,48.99,93,75,5.82
356,Le Port,RE,,-20.94,55.29,68.0,60,28,13.87
357,Beringovskiy,RU,,63.05,179.32,59.56,60,52,10.47
358,Winnemucca,US,,40.97,-117.74,87.8,8,1,9.17
359,Kurtamysh,RU,,54.91,64.43,75.74,69,0,3.83
360,Kaoma,ZM,,-14.78,24.8,50.36,68,0,6.51
361,Half Moon Bay,US,,37.46,-122.43,73.0,82,75,5.82
362,Juruti,BR,,-2.15,-56.09,75.25,85,28,2.95
363,Moss Point,US,,30.41,-88.53,75.2,88,1,10.33
364,Petropavl,KZ,,54.88,69.16,73.83,73,25,7.31
365,Chernyshevskiy,RU,,63.01,112.47,70.81,44,79,13.09
366,Hailar,CN,,49.2,119.7,88.05,27,61,14.65
367,Yadgir,IN,,16.77,77.13,75.0,91,100,9.13
368,Novokayakent,RU,,42.39,47.99,84.2,45,20,22.37
369,Bathsheba,BB,,13.22,-59.52,80.6,78,40,17.22
370,Den Helder,NL,,52.96,4.76,57.2,93,90,12.75
371,Mikuni,JP,,36.22,136.15,80.6,74,75,1.12
372,Jiuquan,CN,,39.74,98.52,80.06,19,12,3.04
373,Itaituba,BR,,-4.28,-55.98,75.27,85,54,1.45
374,Montague,US,,42.54,-72.54,72.0,94,29,3.96
375,Tobermory,CA,,45.25,-81.67,72.3,68,22,5.23
376,Palu,ID,,-0.89,119.87,83.73,71,83,1.7
377,Atbasar,KZ,,51.8,68.33,73.08,57,0,8.43
378,San Patricio,MX,,19.22,-104.7,84.2,74,90,11.41
379,Mbandaka,CD,,0.05,18.26,69.96,74,0,0.94
380,Tautira,PF,,-17.73,-149.15,80.6,57,20,10.29
381,Kovur,IN,,14.48,79.98,85.69,59,100,11.56
382,Mishkino,RU,,55.34,63.92,74.43,73,0,3.76
383,Birao,CF,,10.28,22.79,72.95,91,98,1.28
384,Karratha,AU,,-20.74,116.85,80.62,17,0,11.18
385,Krasnyy Kholm,RU,,58.06,37.12,51.85,96,100,9.57
386,Berezovyy,RU,,51.67,135.7,53.76,90,100,4.27
387,Constitucion,CL,,-35.33,-72.42,46.63,68,69,4.43
388,Rio Grande,BR,,-32.03,-52.1,49.44,87,100,21.52
389,Ambilobe,MG,,-13.2,49.05,69.6,77,0,6.33
390,Nemuro,JP,,43.32,145.57,68.0,94,75,5.82
391,Hermosillo,MX,,29.07,-110.97,95.0,34,75,8.05
392,Saint Simons,US,,31.14,-81.39,82.4,83,1,4.7
393,Port Hedland,AU,,-20.32,118.57,82.4,11,0,14.99
394,Kutum,SD,,14.2,24.67,77.65,45,100,9.37
395,Gadarwara,IN,,22.92,78.78,85.89,68,89,11.7
396,Fairbanks,US,,64.84,-147.72,68.0,59,1,9.17
397,Xingcheng,CN,,40.62,120.72,80.28,46,83,10.63
398,Udachnyy,RU,,66.42,112.4,66.2,45,93,11.18
399,Tura,IN,,25.52,90.22,79.43,90,100,7.99
400,Coahuayana,MX,,18.73,-103.68,78.51,79,100,2.46
401,Nehe,CN,,48.48,124.83,83.57,40,70,9.04
402,Port Keats,AU,,-14.25,129.55,86.2,31,64,8.03
403,Tanah Merah,MY,,5.8,102.15,82.4,78,20,5.82
404,Pitea,SE,,65.32,21.48,53.6,93,92,1.12
405,Saiha,IN,,22.48,92.97,75.72,88,100,2.42
406,Puerto Cabezas,NI,,14.04,-83.39,79.36,87,100,8.81
407,Anavra,GR,,39.2,22.08,71.01,77,40,0.11
408,Lichtenfels,DE,,50.15,11.06,57.99,99,100,2.57
409,Mutoko,ZW,,-17.4,32.23,48.63,86,9,1.86
410,Keetmanshoop,NA,,-26.58,18.13,51.8,20,0,10.29
411,Goundi,TD,,9.36,17.37,72.39,95,94,4.14
412,Kyzyl-Suu,KG,,42.34,78.0,56.8,77,100,3.89
413,Jaicos,BR,,-7.36,-41.14,69.51,64,0,3.62
414,Matagami,CA,,49.75,-77.63,68.0,82,20,4.7
415,Vostok,RU,,46.49,135.88,56.25,100,100,3.69
