City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
220,Tabou,CI,4.42,-7.35,75.38,79,87,7.74,overcast clouds,0.0,0
221,Kathmandu,NP,27.72,85.32,71.6,94,75,1.12,light rain,0.0,0
222,Bulgan,MN,48.81,103.53,55.24,88,12,1.16,few clouds,0.0,0
223,Soyo,AO,-6.13,12.37,72.27,82,0,9.95,clear sky,0.0,0
224,Port Elizabeth,ZA,-33.92,25.57,55.4,66,0,5.82,clear sky,0.0,0
225,Chimoio,MZ,-19.12,33.48,53.6,71,0,10.29,clear sky,0.0,0
226,Poli,TZ,-3.33,36.8,56.46,91,34,4.41,scattered clouds,0.0,0
227,Koumac,NC,-20.57,164.28,68.94,76,0,3.67,clear sky,0.0,0
228,Laurel,US,39.1,-76.85,89.01,58,1,8.05,clear sky,0.0,0
229,Bud,US,39.45,-86.18,82.99,57,1,4.7,clear sky,0.0,0
230,Zhangye,CN,38.93,100.45,75.54,29,96,4.56,overcast clouds,0.0,0
231,Gizo,SB,-8.1,156.84,82.8,78,90,13.29,moderate rain,2.32,0
232,Provideniya,RU,64.38,-173.3,51.8,76,20,11.18,mist,0.0,0
233,Hualmay,PE,-11.1,-77.61,66.0,68,7,7.31,clear sky,0.0,0
234,Torbay,CA,47.67,-52.73,64.99,77,75,14.99,broken clouds,0.0,0
235,Portobelo,PA,9.55,-79.65,86.0,70,82,5.01,broken clouds,0.0,0
236,Lovozero,RU,68.0,35.01,47.8,90,100,3.83,overcast clouds,0.0,0
237,Kendari,ID,-3.94,122.5,73.54,92,55,3.24,light rain,0.2,0
238,Biloela,AU,-24.42,150.5,52.32,69,97,7.72,overcast clouds,0.0,0
239,Karratha,AU,-20.74,116.85,60.12,32,32,13.76,scattered clouds,0.0,0
240,Lagoa Vermelha,BR,-28.21,-51.53,59.65,97,23,6.08,light rain,0.2,0
241,Nancha,CN,47.13,129.27,66.29,92,0,0.18,clear sky,0.0,0
242,Saint-Francois,FR,46.42,3.91,68.0,42,53,3.36,broken clouds,0.0,0
243,Yining,CN,29.04,114.56,74.88,90,82,0.74,broken clouds,0.0,0
244,Visby,SE,57.64,18.3,61.0,87,63,5.82,broken clouds,0.0,0
245,Columbia,US,34.0,-81.03,93.99,36,20,4.7,few clouds,0.0,0
246,Blackfoot,US,43.19,-112.34,84.2,23,1,17.22,clear sky,0.0,0
247,Grand-Santi,GF,4.25,-54.38,77.97,95,98,2.82,moderate rain,1.68,0
248,Kloulklubed,PW,7.04,134.26,77.0,94,75,3.36,broken clouds,0.0,0
249,Raga,SS,8.46,25.68,71.47,93,100,3.51,overcast clouds,0.0,0
250,Ixtapa,MX,20.7,-105.2,88.0,70,40,9.17,scattered clouds,0.0,0
251,Asyut,EG,27.18,31.18,84.78,21,0,11.79,clear sky,0.0,0
252,Havre-Saint-Pierre,CA,50.23,-63.6,75.2,78,20,9.17,few clouds,0.0,0
253,Altay,CN,47.87,88.12,57.15,58,96,0.94,overcast clouds,0.0,0
254,Ossora,RU,59.24,163.07,53.92,87,100,9.15,overcast clouds,0.0,0
255,Lipin Bor,RU,60.26,37.98,57.49,85,100,4.92,overcast clouds,0.0,0
256,Cap Malheureux,MU,-19.98,57.61,72.0,72,7,7.0,light rain,0.12,0
257,Nouadhibou,MR,20.93,-17.03,73.4,78,0,10.29,clear sky,0.0,0
258,Aksarka,RU,66.56,67.8,55.98,94,100,8.9,light rain,0.28,0
259,La Rioja,ES,42.25,-2.5,66.2,82,76,5.82,moderate rain,1.44,0
260,Svetlaya,RU,46.54,138.33,59.02,83,81,2.01,broken clouds,0.0,0
261,Davila,PH,18.47,120.58,82.63,74,100,2.59,overcast clouds,0.0,0
262,Mecca,SA,21.43,39.83,81.43,36,71,2.28,broken clouds,0.0,0
263,Bambanglipuro,ID,-7.95,110.28,72.7,88,100,3.27,overcast clouds,0.0,0
264,Edd,ER,13.93,41.69,90.7,53,57,7.63,broken clouds,0.0,0
265,Dunedin,NZ,-45.87,170.5,42.01,79,0,4.0,clear sky,0.0,0
266,Illapel,CL,-31.63,-71.17,68.07,46,100,2.19,overcast clouds,0.0,0
267,Saint-Georges,GD,12.06,-61.75,86.0,79,20,13.87,few clouds,0.0,0
268,Bay City,US,43.59,-83.89,80.6,47,40,9.17,scattered clouds,0.0,0
269,Zavitinsk,RU,50.12,129.45,68.54,89,9,2.89,clear sky,0.0,0
270,Lata,PT,40.16,-8.33,73.4,64,0,3.36,clear sky,0.0,0
271,Pevek,RU,69.7,170.31,48.54,72,71,3.98,broken clouds,0.0,0
272,Copiapo,CL,-27.37,-70.33,57.2,71,20,18.34,few clouds,0.0,0
273,Chokurdakh,RU,70.63,147.92,61.21,56,73,10.42,broken clouds,0.0,0
274,Am Timan,TD,11.03,20.28,78.66,74,20,4.09,few clouds,0.0,0
275,Mao,ES,39.89,4.27,75.2,44,53,4.7,broken clouds,0.0,0
276,Selizharovo,RU,56.85,33.45,51.1,93,100,3.98,overcast clouds,0.0,0
277,La Plata,AR,-34.92,-57.95,53.6,50,34,10.29,scattered clouds,0.0,0
278,Nicoya,CR,10.15,-85.45,86.0,66,40,10.29,scattered clouds,0.0,0
279,Nikolskoye,RU,59.7,30.79,55.99,76,75,4.47,broken clouds,0.0,0
280,Ashington,GB,50.93,-0.39,62.01,3,45,5.99,scattered clouds,0.0,0
281,Biscarrosse,FR,44.39,-1.17,71.6,56,0,4.7,clear sky,0.0,0
282,Tabuk,PH,17.42,121.44,74.14,86,100,2.86,overcast clouds,0.0,0
283,Longyearbyen,SJ,78.22,15.64,46.4,75,75,2.24,broken clouds,0.0,0
284,Port Hardy,CA,50.7,-127.42,55.4,93,75,6.93,broken clouds,0.0,0
285,Buchanan,LR,5.88,-10.05,77.0,94,75,7.96,broken clouds,0.0,0
286,Daru,PG,-9.08,143.21,77.07,89,99,16.08,moderate rain,1.56,0
287,Champerico,GT,14.3,-91.92,89.6,62,40,9.17,scattered clouds,0.0,0
288,Kurchum,KZ,48.57,83.65,59.77,74,0,3.18,clear sky,0.0,0
289,Poum,NC,-20.23,164.02,71.04,77,0,10.45,clear sky,0.0,0
290,Takoradi,GH,4.88,-1.76,74.7,89,29,8.55,scattered clouds,0.0,0
291,Huilong,CN,31.81,121.66,88.0,81,100,8.41,light rain,0.16,0
292,Scarborough,GB,54.28,-0.4,57.0,80,42,5.01,scattered clouds,0.0,0
293,Nemuro,JP,43.32,145.57,54.93,93,95,7.02,overcast clouds,0.0,0
294,Kapasan,ID,-6.78,111.38,73.65,84,59,5.46,broken clouds,0.0,0
295,Broome,US,42.25,-75.83,82.99,42,20,8.05,few clouds,0.0,0
296,Samarai,PG,-10.62,150.67,78.08,87,97,15.41,moderate rain,1.39,0
297,Puri,IN,19.8,85.85,78.8,100,75,10.6,haze,0.0,0
298,Airai,TL,-8.93,125.41,55.67,94,90,4.23,overcast clouds,0.0,0
299,Victor Harbor,AU,-35.57,138.62,45.0,92,0,2.89,clear sky,0.0,0
300,Pakxan,LA,18.38,103.66,74.14,93,90,2.89,light rain,0.46,0
301,Puerto Maldonado,PE,-12.6,-69.18,84.99,60,92,1.63,overcast clouds,0.0,0
302,Walvis Bay,NA,-22.96,14.51,55.0,93,0,4.7,clear sky,0.0,0
303,Katsuura,JP,35.13,140.3,69.01,88,75,8.05,light rain,0.0,0
304,Mildura,AU,-34.2,142.15,42.8,93,0,8.05,clear sky,0.0,0
305,Dudinka,RU,69.41,86.18,53.6,93,75,11.18,broken clouds,0.0,0
306,Roma,US,43.21,-75.46,82.4,54,75,10.29,broken clouds,0.0,0
307,Hommelvik,NO,63.41,10.79,51.8,81,75,12.75,shower rain,0.0,0
308,Abnub,EG,27.27,31.15,85.08,22,0,13.06,clear sky,0.0,0
309,Atasu,KZ,48.68,71.64,70.59,66,0,7.58,clear sky,0.0,0
310,Karangasem,ID,-8.45,115.62,78.8,100,40,5.82,scattered clouds,0.0,0
311,Los Llanos De Aridane,ES,28.66,-17.92,73.4,73,20,12.75,few clouds,0.0,0
